LogStartTime,PullNumber,PullDuration,BossPercentage,FightPercentage,LastPhase,LastPhaseIntermission,P2Glitch,P3Defamation
1674641521769,11,112667,40.15,94.01,1,0,N,N
1674641685116,12,64260,55.41,95.54,1,0,N,N
1674641794331,13,59540,58.91,95.89,1,0,N,N
1674641891023,14,52104,60.37,96.03,1,0,N,N
1674642029487,15,52253,60.09,96,1,0,N,N
1674642098204,16,112732,42.81,94.28,1,0,N,N
1674642332883,17,58920,56.66,95.66,1,0,N,N
1674642521428,18,61051,56.06,95.6,1,0,N,N
1674642606841,19,61152,57.27,95.72,1,0,N,N
1674642711297,20,58203,58.03,95.8,1,0,N,N
1674642799878,21,51947,60.33,96.03,1,0,N,N
1674642866237,22,98930,34.2,93.42,1,0,N,N
1674642988512,23,54416,57.45,95.74,1,0,N,N
1674643081497,24,101834,42.77,94.27,1,0,N,N
1674643212077,25,68698,53.13,95.31,1,0,N,N
1674643298615,26,66280,52.39,95.23,1,0,N,N
1674643388138,27,52279,58.3,95.83,1,0,N,N
1674643460621,28,97876,33.53,93.35,1,0,N,N
1674643760495,29,115403,27.37,92.73,1,0,N,N
1674644220188,30,52182,58.79,95.87,1,0,N,N
1674644286789,31,41677,68.67,96.86,1,0,N,N
1674644346937,32,112472,27.17,92.71,1,0,N,N
1674644684758,33,97883,33.49,93.34,1,0,N,N
1674644842440,34,52327,58.15,95.81,1,0,N,N
1674644910683,35,114487,29.15,92.91,1,0,N,N
1674645171239,36,112811,27,92.7,1,0,N,N
1674645406733,37,133579,28.4,92.84,1,0,N,N
1674645632155,38,54428,57.51,95.75,1,0,N,N
1674645770520,39,68345,50.36,95.03,1,0,N,N
1674645855273,40,57912,57.69,95.76,1,0,N,N
1674645937462,41,103795,30.37,93.03,1,0,N,N
1674646279032,42,43245,67.67,96.76,1,0,N,N
1674646342220,43,92230,32.52,93.25,1,0,N,N
1674646459847,44,103973,40.6,94.06,1,0,N,N
1674646646936,45,63401,51.18,95.11,1,0,N,N
1674646786081,46,98822,35.11,93.51,1,0,N,N
1674646903084,47,48390,64.38,96.43,1,0,N,N
1674646967682,48,67520,51.94,95.19,1,0,N,N
1674647050298,49,112842,22.24,92.22,1,0,N,N
1674647211572,50,54437,58.86,95.88,1,0,N,N
1674647294893,51,112839,26.63,92.66,1,0,N,N
1674647581792,52,133547,28.43,92.84,1,0,N,N
1674647753699,53,61143,56.42,95.64,1,0,N,N
1674647832884,54,103963,37.64,93.76,1,0,N,N
1674648004596,55,103955,37.29,93.72,1,0,N,N
1674648134653,56,121840,20.41,92.04,1,0,N,N
1674648310812,57,97972,28.87,92.88,1,0,N,N
